Sl,Date,Time,Product,Side,Qty,Exe Price,Acct
405,31/08/21,9:33:31,AAPL,SLD SHRT,100,152.49,NLSIM091
406,31/08/21,9:33:24,ZM,BOT,13,292.2,NLSIM043
407,31/08/21,9:33:13,ACIU,SLD SHRT,200,11.56,NLSIM092
408,31/08/21,9:32:57,ACIU,SLD,200,12.42,NLSIM052
409,31/08/21,9:32:55,ACIU,BOT,200,12.25,NLSIM052
410,31/08/21,9:32:52,ZM,BOT,12,290.96,NLSIM043
411,31/08/21,9:32:48,AAPL,SLD SHRT,100,152.25,NLSIM091
412,31/08/21,9:32:33,RNXT,BOT,200,14.09,NLSIM092
413,31/08/21,9:32:29,ACIU,SLD,200,11.82,NLSIM052
414,31/08/21,9:32:24,ANY,BOT,200,5.87,NLSIM053
415,31/08/21,9:32:23,ACIU,BOT,200,11.99,NLSIM052
416,31/08/21,9:32:23,ANY,SLD SHRT,200,5.85,NLSIM053
417,31/08/21,9:32:15,ZM,BOT,25,290.23,NLSIM043
418,31/08/21,9:32:13,ACIU,SLD,200,11.85,NLSIM052
419,31/08/21,9:32:03,ACIU,BOT,200,12,NLSIM052
420,31/08/21,9:31:55,RNXT,SLD SHRT,200,14.68,NLSIM092
421,31/08/21,9:31:47,ACIU,SLD,200,11.9,NLSIM052
422,31/08/21,9:31:39,ACIU,BOT,200,12,NLSIM052
423,31/08/21,9:31:36,ACIU,SLD,200,11.9,NLSIM052
424,31/08/21,9:31:26,ACIU,BOT,200,11.98,NLSIM052
425,31/08/21,9:31:22,ZM,SLD SHRT,50,292,NLSIM043
426,31/08/21,9:31:19,AAPL,BOT,100,152.13,NLSIM091
427,31/08/21,9:31:04,ACIU,BOT,200,11.95,NLSIM092
428,31/08/21,9:31:04,AAPL,SLD SHRT,100,152.16,NLSIM091
429,31/08/21,9:31:03,ACIU,BOT,200,11.91,NLSIM092
430,31/08/21,9:30:22,ACIU,SLD SHRT,200,12.03,NLSIM092
431,31/08/21,9:30:21,ACIU,SLD SHRT,200,11.91,NLSIM092
432,31/08/21,9:25:23,MSFT,BOT,100,304.94,NLSIM098
433,31/08/21,9:25:13,AAPL,SLD SHRT,100,152.72,NLSIM098
